,empty_slots,free_bikes,id,latitude,longitude,name
50,15,4,c56841567707d1812755ec56f2ad2895,45.52275023118295,-73.57724860310555,Berri / Rachel
51,7,11,1f7793b1b7e1c83f11792bddb10e297a,45.550692068419764,-73.65636706352234,Métro Sauvé (Berri / Sauvé)
52,7,5,9b2a7ca24856adc0e2898fb4254b8f4a,45.540105018786974,-73.65347027778625,Chabanel / Tolhurst
53,8,11,73eda86efde149b545d1e7646de05cd6,45.54407915308118,-73.66735741496086,Tolhurst / Fleury
54,8,19,4752f08cc123b7e93771ee25c318efee,45.51814312154928,-73.56800436973572,Métro Sherbrooke (de Rigaud / Berri)
55,26,5,4c87345d7a652a966f526460dfa264c5,45.48020822800015,-73.57759863138199,Marché Atwater
56,20,4,eb0fd4c2ab7be34b815978bb8ebfbe65,45.51074821798916,-73.56512099504471,Métro St-Laurent ( de Maisonneuve / St-Laurent)
57,9,10,0cc110260f90b08675fba8b904866c5c,45.55903106539297,-73.54830354452133,Pierre-de-Coubertin / Aird
58,19,4,7244dde4977180daca1765d2c6c82c1a,45.51329411414168,-73.55057805776596,Porte de Québec / St-André
59,19,3,268397f44e5cae3f431fc80129c14fd5,45.52714838624861,-73.58947947621346,Laurier / St-Denis
60,9,10,75029d868bd65133941f05b6d4fa2daf,45.53006276144042,-73.54559183120728,Frontenac / Ste-Catherine
61,15,8,5e32fab9110f792cab5784b893f3a1af,45.545350334193245,-73.61032962799072,Lanaudière / Jean-Talon
62,10,11,3cbb64215b647b4779187f72b150a036,45.50229349416256,-73.5733064264059,de Maisonneuve / Mansfield (sud-est)
63,0,19,462e77d533503e90f53675acf2f9ddcc,45.527371996141,-73.60398352146149,Clark / de l'Arcade
64,20,4,5a1a7b87aa778fdd439fe21cc643e051,45.55398156058887,-73.55496388156098,Sherbrooke / Jeanne-d'Arc
65,20,13,4cc8089699bfd944c99c4fdef2e3c6ce,45.502182909901194,-73.56825381517409,Robert-Bourassa / René-Lévesque
66,20,1,e61bdf615b9672bd815d52f210429d3c,45.55315915057821,-73.53263273835182,Bennett / Ste-Catherine
67,14,18,5678ed90f0af2bf60b25261bf16f6c70,45.5238445756922,-73.55236601831166,Métro Papineau (Dorion / De Maisonneuve)
68,12,3,81835dccb50d8900b00cc0a3ea1b480f,45.49572236030835,-73.55461344122887,Duke / Nazareth
69,6,12,2b9e2e02951cbf0f3386b55b303d7105,45.54902230455398,-73.59198164194822,Parc Molson (d'Iberville / Beaubien)
70,15,4,07151bf35f8c11187f1e4e0c0311b250,45.539306918976,-73.59521873295307,de Bellechasse / de Lanaudière
71,4,15,16fb65f48b8435b23e10d3e232fd5f0c,45.48830194643546,-73.56871783733366,Notre-Dame  / St-Martin
72,19,0,26aa0933324c9525e24f3b802787f507,45.533313304815366,-73.56671154499054,des Érables / Rachel
73,7,8,7fb17e275b3e5006964621b39f5decbd,45.527941351769826,-73.62388551235199,Jean-Talon / de l'Épée
74,14,11,5fe27f765b1c3a37dd8b9f9e155ebfff,45.54428297135084,-73.54544162750244,Aylwin / Ontario
75,17,9,d63041391198f1496b84b02d71a3ed90,45.46976497412213,-73.58923405408859,St-Rémi / Ste-Émilie
76,16,3,f3e045cfad9852a12ed3a7899997b5a9,45.54714142711512,-73.54339510202408,Place Valois (Valois / Ontario)
77,12,14,a84281bfbdcca2e4d26eee6578dedfe5,45.51433912935237,-73.56168508529663,St-Denis / de Maisonneuve
78,8,7,352d6c6589d10485af73efe4b2df8660,45.55897660298603,-73.59951764345168,Métro St-Michel (Shaughnessy / St-Michel)
