,bar_id,bar_name,station_id,popularity,rating,price,review_count,total_counts,empty_slots,free_bikes,latitude,longitude,name
25,JsWnBDHZW1HFkgJVYCaEfg,Le Blossom,36c6491aa1b52e5ef7005f984738de27,0.8439483898103798,6.0,2.0,31.0,8.0,12,3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario)
26,50cfc6a0e4b00c2caa3b1e57,Madame Smith,65f5707d61306518123222b4680bc282,0.9703982815588716,7.9,2.0,216.0,7.0,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
27,4f039af102d5cce0cf039639,L'Espace Public-Brasseurs de Quartier,65f5707d61306518123222b4680bc282,0.9792117150870282,8.7,2.0,16.0,5.0,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
28,53b68e72498e8b9d660abb9d,Le Trèfle - Taverne Irlandaise,65f5707d61306518123222b4680bc282,0.9747800209809672,7.6,2.0,2.0,7.0,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
29,54ff8f33498e0e2e2734aaf2,Le Blind Pig,65f5707d61306518123222b4680bc282,0.9773419826300428,7.0,1.0,25.0,7.0,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
30,557e24bb122b43ee5b6f9f09,Brasserie de Lasalle Enr,65f5707d61306518123222b4680bc282,0.5996988446195237,8.2,2.0,65.0,5.0,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
31,212eaec4bd794982cf8789a9,La Nef,65f5707d61306518123222b4680bc282,0.7792359787906684,8.2,2.0,143.0,7.0,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
32,4c6f5686d274b60c4e8cd60d,Bar le Bureau,65f5707d61306518123222b4680bc282,0.9100102050282958,8.2,2.0,59.0,3.0,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
33,5465440c498e7f14d79989c3,Bar l'Assemblée,65f5707d61306518123222b4680bc282,0.9256460211094222,8.2,2.0,187.0,4.0,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
34,514531a5e4b0910b604fb7cc,Taverne l'Escale,65f5707d61306518123222b4680bc282,0.9412247461231597,8.2,2.0,31.0,4.0,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
35,5781c6e1498e7519bb8a5e83,Loupblond,65f5707d61306518123222b4680bc282,0.0338264574279046,8.2,2.0,72.0,4.0,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
36,2RIcAKwFl3_mJEVZCJfKqA,Le Trèfle,65f5707d61306518123222b4680bc282,0.9260847760666464,8.0,2.0,35.0,8.0,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
37,B1oB2s2lDskUoY5r_1g1xg,El Jumelgi,65f5707d61306518123222b4680bc282,0.7497227090053711,8.0,1.0,1.0,5.0,13,9,45.55321884238814,-73.53978216648102,Marché Maisonneuve
38,54f4fd2c498e6ed27bd8e8ae,Rouge Gorge,0e58810dea9e4869279089cb8576642f,0.9532210066582456,8.2,2.0,53.0,11.0,12,17,45.52689,-73.57264,Rachel / de Brébeuf
