,bar_name,station_id,popularity,fs_price,fs_rating,fs_total_counts,review_count,yelp_rating,yelp_price,yelp_total_counts
52,Resto Bar Beauharnois,1ff33fd73e2add3c30fcd821850dccd3,0.0584755257730487,2.0,8.2,4.0,,,,
53,Le Bar Salon Solid Gold Inc,1ff33fd73e2add3c30fcd821850dccd3,0.9777630292520356,2.0,8.2,4.0,,,,
54,Pub Pit Caribou,2501128835e132f929d56798aa789839,0.9676079556402406,2.0,8.4,3.0,,,,
55,Le Royal,2501128835e132f929d56798aa789839,0.0782647170067153,3.0,8.5,4.0,,,,
56,Grenade - Resto-bar et terrasse,2501128835e132f929d56798aa789839,0.9634545804877004,2.0,8.0,5.0,,,,
57,Barraca Rhumerie,2501128835e132f929d56798aa789839,0.925867248995554,1.0,7.4,3.0,,,,
58,Marconi,00c210cb99cf9d1b923c1548938aee56,0.9641682188300612,2.0,9.0,5.0,,,,
59,Brasserie Harricana,00c210cb99cf9d1b923c1548938aee56,0.9738380183690508,2.0,8.8,6.0,,,,
60,Birra,00c210cb99cf9d1b923c1548938aee56,0.9846995939397832,2.0,8.1,6.0,,,,
61,Vices & Versa Bistro du Terroir Inc,00c210cb99cf9d1b923c1548938aee56,0.9729459704411,2.0,8.5,5.0,,,,
62,Yïsst,00c210cb99cf9d1b923c1548938aee56,0.9680718205627752,2.0,8.5,4.0,,,,
63,Bar le Vestiaire,00c210cb99cf9d1b923c1548938aee56,0.987418556024178,2.0,8.1,6.0,,,,
64,Cicchetti,00c210cb99cf9d1b923c1548938aee56,0.9682930484489072,2.0,7.9,7.0,,,,
65,Huis Clos,00c210cb99cf9d1b923c1548938aee56,0.9449428018868598,2.0,8.0,6.0,17.0,3.5,2.0,7.0
66,Bar St-Denis,00c210cb99cf9d1b923c1548938aee56,0.9759075695618974,2.0,6.9,5.0,,,,
67,Notre Dame des Quilles,00c210cb99cf9d1b923c1548938aee56,0.944792937834964,2.0,7.2,1.0,36.0,4.5,1.0,6.0
68,Taverne Cobra,f9bb106633ce38eeec6728faed3155ad,0.9416457927451526,1.0,7.4,1.0,,,,
69,Miss Villeray,f9bb106633ce38eeec6728faed3155ad,0.9518080027403713,2.0,7.1,4.0,,,,
70,Le Pourvoyeur,f9bb106633ce38eeec6728faed3155ad,0.9417528384965068,2.0,6.8,7.0,,,,
71,Buvette Chez Simone,a32e2261fca6732a8f47eec9fef69017,0.944899983586318,2.0,9.0,6.0,118.0,4.5,2.0,6.0
72,Darling,a32e2261fca6732a8f47eec9fef69017,0.9799039442791182,3.0,9.2,10.0,,,,
73,Salon Daome,a32e2261fca6732a8f47eec9fef69017,0.4863088484018069,1.0,8.5,11.0,,,,
74,Le Majestique,a32e2261fca6732a8f47eec9fef69017,0.976735390039036,2.0,9.0,10.0,204.0,4.5,2.0,12.0
75,Brasserie Dieu du Ciel,a32e2261fca6732a8f47eec9fef69017,0.9624340776581244,2.0,9.1,8.0,,,,
76,Casa del Popolo,a32e2261fca6732a8f47eec9fef69017,0.9515510929371214,2.0,8.2,9.0,,,,
77,Réservoir,a32e2261fca6732a8f47eec9fef69017,0.9639898092444712,1.0,8.5,10.0,,,,
78,Bar Suzanne,a32e2261fca6732a8f47eec9fef69017,0.9591085229827228,2.0,8.3,8.0,48.0,4.0,2.0,8.0
79,Bar Henrietta,a32e2261fca6732a8f47eec9fef69017,0.9574314728781748,3.0,8.0,7.0,42.0,4.0,2.0,7.0
