,fsq_id,distance,name,popularity,price,rating,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,geocodes.drop_off.latitude,geocodes.drop_off.longitude,station_id,location.address_extended,geocodes.front_door.latitude,geocodes.front_door.longitude
16,4c6f5686d274b60c4e8cd60d,501.0,Bar le Bureau,0.9100102050282958,2.0,,45.550938,-73.534291,45.550938,-73.534291,4303 Sainte-Catherine Rue E,CA,,"4303 Sainte-Catherine Rue E, Montréal QC H1V 1Y1",Montréal,H1V 1Y1,QC,45.550814,-73.53411,65f5707d61306518123222b4680bc282,,,
17,5465440c498e7f14d79989c3,519.0,Bar l'Assemblée,0.9256460211094222,2.0,,45.552034,-73.533501,45.552034,-73.533501,4456 Sainte-Catherine Rue E,CA,William-David,"4456 Sainte-Catherine Rue E (William-David), Montréal QC H1V 1Y3",Montréal,H1V 1Y3,QC,45.551927,-73.533345,65f5707d61306518123222b4680bc282,,,
18,514531a5e4b0910b604fb7cc,522.0,Taverne l'Escale,0.9412247461231597,2.0,,45.552554,-73.533081,45.552554,-73.533081,4471 Sainte-Catherine Rue E,CA,,"4471 Sainte-Catherine Rue E, Montréal QC H1V 1Y6",Montréal,H1V 1Y6,QC,45.552473,-73.532965,65f5707d61306518123222b4680bc282,,,
19,5781c6e1498e7519bb8a5e83,615.0,Loupblond,0.0338264574279046,2.0,,45.554052,-73.532061,45.554052,-73.532061,4641 Sainte-Catherine Rue E,CA,,"4641 Sainte-Catherine Rue E, Montréal QC H1V 1Z1",Montréal,H1V 1Z1,QC,45.553968,-73.531929,65f5707d61306518123222b4680bc282,,,
20,54f4fd2c498e6ed27bd8e8ae,488.0,Rouge Gorge,0.9532210066582456,2.0,8.2,45.529089,-73.577946,45.529089,-73.577946,1234 Ave du Mont-Royal Est,CA,coin Brébeuf,"1234 Ave du Mont-Royal Est (coin Brébeuf), Montréal QC H2J 1Y1",Montréal,H2J 1Y1,QC,45.52922,-73.578083,0e58810dea9e4869279089cb8576642f,,,
21,56159b81498e692deb443cb9,584.0,Pub West Shefford,0.9640326275450128,2.0,8.1,45.531694,-73.575558,45.531694,-73.575558,1562 Ave du Mont-Royal Est,CA,,"1562 Ave du Mont-Royal Est, Montréal QC H2J 1Z2",Montréal,H2J 1Z2,QC,45.531781,-73.57565,0e58810dea9e4869279089cb8576642f,,,
22,4ad4c06bf964a52090f920e3,906.0,Bily Kun,0.956589379634189,2.0,8.3,45.523413,-73.58319,45.523413,-73.58319,354 Ave du Mont-Royal Est,CA,entre Drolet & St-Denis,"354 Ave du Mont-Royal Est (entre Drolet & St-Denis), Montréal QC H2T 1P9",Montréal,H2T 1P9,QC,,,0e58810dea9e4869279089cb8576642f,,,
23,4ae3d573f964a5203e9921e3,919.0,La Distillerie No2,0.968492867184768,2.0,8.3,45.535105,-73.572712,45.535105,-73.572712,2047 Ave du Mont-Royal Est,CA,coin av. de Lorimier,"2047 Ave du Mont-Royal Est (coin av. de Lorimier), Montréal QC H2H 1J7",Montréal,H2H 1J7,QC,45.535002,-73.572601,0e58810dea9e4869279089cb8576642f,,,
24,541260c1498eaf769b43d38c,747.0,Fitzroy,0.975493659323328,2.0,7.6,45.525198,-73.582036,45.525198,-73.582036,551 Ave du Mont-Royal E,CA,,"551 Ave du Mont-Royal E, Montréal QC H2J 1W6",Montréal,H2J 1W6,QC,45.525091,-73.581915,0e58810dea9e4869279089cb8576642f,,,
25,4ad4c06bf964a52060f920e3,944.0,Bar Plan B,0.9550265116644188,2.0,7.7,45.523232,-73.583717,45.523232,-73.583717,327 Ave du Mont-Royal Est,CA,entre Saint-Denis et Drolet,"327 Ave du Mont-Royal Est (entre Saint-Denis et Drolet), Montréal QC H2T 1P8",Montréal,H2T 1P8,QC,,,0e58810dea9e4869279089cb8576642f,,,
