y_id,bar_name,station_id,review_count,rating,price,total_counts
EQCd_CUFrK_gSARL7s01fw,La Distillerie No.1,36c6491aa1b52e5ef7005f984738de27,315.0,4.5,2.0,21
RO32EAy8IfnWAm04vCPmzA,Le 4e Mur,36c6491aa1b52e5ef7005f984738de27,99.0,4.5,2.0,17
XQDWifQPvL2R_c3ptJ8D2g,Randolph Pub Ludique,36c6491aa1b52e5ef7005f984738de27,96.0,4.5,2.0,16
hdJlf4YNdDtQA67nXvFeyw,Arcade MTL,36c6491aa1b52e5ef7005f984738de27,26.0,4.5,1.0,13
SbFWAF3Rhtb-vvl5WUqg_A,Yer'Mad,36c6491aa1b52e5ef7005f984738de27,15.0,4.5,1.0,11
o7MzamFzaLiCFDmfXAmyRA,Le Normandie,36c6491aa1b52e5ef7005f984738de27,8.0,4.5,1.0,14
6yrZA98dlYpoSRMjMOTTuw,Patrick's Pub,36c6491aa1b52e5ef7005f984738de27,25.0,3.5,2.0,6
B5kbcJs8FlS0oF-moPJ6NA,Bistro à Jojo,36c6491aa1b52e5ef7005f984738de27,23.0,4.0,2.0,11
QPq7OiHqyONN9relgqwFZA,Midway,36c6491aa1b52e5ef7005f984738de27,35.0,4.0,2.0,25
rgriAyAgPcs3sZHOrvF8ig,Pub le Sainte-Élisabeth,36c6491aa1b52e5ef7005f984738de27,123.0,4.0,2.0,16
SgLr6EzoWrIjgl5VpB07rA,Pub l'Île Noire,36c6491aa1b52e5ef7005f984738de27,60.0,4.0,2.0,4
FpmQN6DHQDBk7o6VUJ1VtA,Bootlegger l'Authentique,36c6491aa1b52e5ef7005f984738de27,46.0,4.5,2.0,15
qVdVY4YN0Rr0uKPkE1ltgQ,Le Mal Nécessaire,36c6491aa1b52e5ef7005f984738de27,163.0,4.0,2.0,29
MIRu1QpQT0ymwk5k3ozNjg,Renard,36c6491aa1b52e5ef7005f984738de27,21.0,4.0,2.0,13
cGXuJydIyA_j_8nY-hYe1A,Stereo,36c6491aa1b52e5ef7005f984738de27,54.0,3.5,3.0,13
uyyvYlZRUK3UWMDllDRWxA,Ginkgo,36c6491aa1b52e5ef7005f984738de27,75.0,4.0,2.0,10
