,bar_name,popularity,review_count,price,num_stations_pinged,rating,empty_slots,free_bikes,total_slots,percent_used
75,Sacre Fut,0.53,1.0,2.0,3.0,4.0,9,6,15,60.0
76,Resto Bar Coin Du Metro,0.98,4.0,2.0,3.0,3.0,9,6,15,60.0
77,Le Petit Flore,0.16,10.0,2.0,4.0,4.0,9,6,15,60.0
78,Resto-Bar Lucky 7,0.61,39.0,2.0,6.0,4.1,15,19,34,44.0
79,Brasserie Place 37,0.81,97.0,2.0,2.0,4.1,15,19,34,44.0
80,Perandello Sport Bar,0.31,19.0,2.0,2.0,4.1,15,19,34,44.0
81,Brasserie Chez le Pere Gedeon,0.9,73.0,2.0,6.0,4.1,15,19,34,44.0
82,La Zone,0.91,2.0,1.0,6.0,1.0,15,19,34,44.0
83,Caffè Roma,0.94,3.0,1.0,7.0,5.0,15,19,34,44.0
84,Chez Baptiste Sur Masson,0.96,79.0,2.0,3.0,3.5,9,9,18,50.0
85,Morelli,0.11,3.0,2.0,7.0,4.1,9,9,18,50.0
86,Taverne Morelli,0.9,5.0,2.0,4.0,4.1,9,9,18,50.0
87,Boswell,0.58,46.0,2.0,8.0,4.5,9,9,18,50.0
88,Pot Masson,0.44,47.0,1.0,6.0,3.5,9,9,18,50.0
89,Baron Samedi,0.25,10.0,2.0,6.0,3.0,9,9,18,50.0
90,Cherry Bar Inc,0.9,64.0,2.0,4.0,4.1,9,6,15,60.0
91,Action Production a N J,0.9,75.0,2.0,2.0,4.1,9,6,15,60.0
92,Au P'tit Buck,0.21,2.0,1.0,8.0,4.0,9,6,15,60.0
93,Vin Prendre Une Bière,0.68,51.0,2.0,2.0,4.1,21,9,30,70.0
94,Resto Bar Trophys,0.98,83.0,2.0,2.0,4.1,21,9,30,70.0
95,Solevino,0.3,21.0,2.0,2.0,4.1,21,9,30,70.0
96,Resto Bar Beauharnois,0.06,99.0,2.0,4.0,4.1,21,9,30,70.0
97,Le Bar Salon Solid Gold Inc,0.98,58.0,2.0,4.0,4.1,21,9,30,70.0
98,Sharky's,0.01,3.0,2.0,2.0,1.5,21,9,30,70.0
99,Roasters,0.95,28.0,2.0,2.0,3.0,21,9,30,70.0
100,Pub Pit Caribou,0.97,96.0,2.0,3.0,4.2,14,15,29,48.0
101,Le Royal,0.08,80.0,3.0,4.0,4.25,14,15,29,48.0
102,Grenade - Resto-bar et terrasse,0.96,52.0,2.0,5.0,4.0,14,15,29,48.0
103,Barraca Rhumerie,0.93,10.0,1.0,3.0,3.7,14,15,29,48.0
104,Chez Victoire,0.51,66.0,3.0,7.0,4.0,14,15,29,48.0
105,Le Boudoir Cafe Bar,0.62,14.0,2.0,6.0,3.0,14,15,29,48.0
106,Grenade,0.01,54.0,2.0,9.0,4.0,14,15,29,48.0
107,Marconi,0.96,53.0,2.0,5.0,4.5,10,15,25,40.0
108,Brasserie Harricana,0.97,3.0,2.0,6.0,4.4,10,15,25,40.0
109,Birra,0.98,76.0,2.0,6.0,4.05,10,15,25,40.0
110,Vices & Versa Bistro du Terroir Inc,0.97,4.0,2.0,5.0,4.25,10,15,25,40.0
111,Yïsst,0.97,78.0,2.0,4.0,4.25,10,15,25,40.0
112,Bar le Vestiaire,0.99,36.0,2.0,6.0,4.05,10,15,25,40.0
113,Cicchetti,0.97,87.0,2.0,7.0,3.95,10,15,25,40.0
114,Huis Clos,0.94,17.0,2.0,6.0,4.0,10,15,25,40.0
115,Bar St-Denis,0.98,48.0,2.0,5.0,3.45,10,15,25,40.0
116,Notre Dame des Quilles,0.94,36.0,2.0,1.0,3.6,10,15,25,40.0
117,Le Vestiaire,0.86,28.0,2.0,6.0,4.5,10,15,25,40.0
118,Le Zotique,0.56,4.0,3.0,7.0,3.5,10,15,25,40.0
119,Alexandraplatz,0.83,35.0,2.0,6.0,4.0,10,15,25,40.0
120,Yïsst ,0.06,19.0,2.0,7.0,4.0,10,15,25,40.0
121,Salon Miss Villeray,0.75,10.0,1.0,6.0,3.5,10,15,25,40.0
122,Brasserie Beaubien,0.3,2.0,1.0,5.0,4.0,10,15,25,40.0
123,Bruno Sport Bar,0.85,10.0,1.0,6.0,4.5,10,15,25,40.0
124,Restaurant El Chalateco,0.77,27.0,2.0,4.0,4.0,10,15,25,40.0
125,Le Jockey,0.53,9.0,1.0,5.0,4.0,10,15,25,40.0
126,Taverna,0.28,4.0,2.0,6.0,4.0,10,15,25,40.0
127,Melrose,0.02,8.0,1.0,3.0,3.5,10,15,25,40.0
128,Le Petit Buck,0.64,1.0,1.0,5.0,3.0,10,15,25,40.0
129,Pastaga,0.74,72.0,3.0,1.0,4.0,10,15,25,40.0
130,Taverne Cobra,0.94,75.0,1.0,1.0,3.7,13,8,21,62.0
131,Miss Villeray,0.95,2.0,2.0,4.0,3.55,13,8,21,62.0
132,Nouveau Cafe Cozmos,0.25,4.0,2.0,5.0,4.5,13,8,21,62.0
133,Buvette Chez Simone,0.94,118.0,2.0,6.0,4.5,17,15,32,53.0
134,Darling,0.98,40.0,3.0,10.0,4.6,17,15,32,53.0
135,Salon Daome,0.49,32.0,1.0,11.0,4.25,17,15,32,53.0
136,Le Majestique,0.98,204.0,2.0,10.0,4.5,17,15,32,53.0
137,Brasserie Dieu du Ciel,0.96,34.0,2.0,8.0,4.55,17,15,32,53.0
138,Casa del Popolo,0.95,26.0,2.0,9.0,4.1,17,15,32,53.0
139,Réservoir,0.96,65.0,1.0,10.0,4.25,17,15,32,53.0
140,Bar Suzanne,0.96,48.0,2.0,8.0,4.15,17,15,32,53.0
141,Bar Henrietta,0.96,42.0,3.0,7.0,4.0,17,15,32,53.0
142,Blue Dog,0.94,27.0,1.0,13.0,4.5,17,15,32,53.0
143,North Star,0.79,30.0,2.0,12.0,4.5,17,15,32,53.0
144,Barfly,0.44,41.0,1.0,11.0,4.0,17,15,32,53.0
145,Les Torchés,0.94,36.0,2.0,12.0,4.0,17,15,32,53.0
146,larrys,0.92,108.0,2.0,10.0,4.5,17,15,32,53.0
147,Le Bayou Bar,0.34,2.0,4.0,4.0,4.0,17,15,32,53.0
148,Chez Serge,0.14,35.0,2.0,4.0,4.0,17,15,32,53.0
149,Bar Kabinet,0.03,30.0,2.0,5.0,4.0,17,15,32,53.0
150,Datcha,0.73,20.0,3.0,4.0,3.5,17,15,32,53.0
151,Primetime Lounge,0.58,8.0,1.0,2.0,4.0,17,15,32,53.0
152,Sparrow,0.05,208.0,2.0,9.0,4.0,17,15,32,53.0
153,Bar le Mal Nécessaire,0.98,2.0,3.0,21.0,4.4,18,1,19,95.0
154,Sainte-Elisabeth,0.97,68.0,2.0,4.0,4.0,18,1,19,95.0
155,The Coldroom,0.29,242.0,2.0,21.0,4.5,18,1,19,95.0
156,Stereobar,0.61,6.0,3.0,7.0,2.5,18,1,19,95.0
157,Bar Zoe Karaoke et Cocktails,0.99,65.0,2.0,4.0,3.8,8,10,18,44.0
158,Bar Hélène,0.48,48.0,2.0,5.0,4.1,8,10,18,44.0
159,Beamers Bar,0.1,44.0,2.0,5.0,4.1,8,10,18,44.0
160,Café Bar Brewski's,0.8,37.0,2.0,3.0,4.1,8,10,18,44.0
161,Au Ptit Buck,0.38,59.0,2.0,5.0,4.1,8,10,18,44.0
162,Bar Excel,0.95,6.0,3.0,5.0,4.1,8,10,18,44.0
163,Bar Zoe,0.9,55.0,2.0,4.0,4.1,8,10,18,44.0
164,Bar Zoé,0.84,12.0,1.0,4.0,4.0,8,10,18,44.0
165,Empire Cafe,0.48,88.0,1.0,3.0,4.1,8,10,18,44.0
166,Chez Momo,0.9,19.0,2.0,1.0,4.1,8,10,18,44.0
167,Bar 1370,0.9,83.0,2.0,2.0,4.1,8,10,18,44.0
168,Limite08,0.73,82.0,2.0,2.0,4.1,10,15,25,40.0
169,Taverne La-Paz,0.44,71.0,2.0,2.0,4.1,10,15,25,40.0
170,Ruelle des papillons,0.18,87.0,3.0,3.0,4.1,10,15,25,40.0
171,Le Grand Lionel,0.9,19.0,2.0,3.0,4.1,10,15,25,40.0
172,Beaubien Deli,0.98,8.0,2.0,3.0,4.0,10,15,25,40.0
173,Boswell Brasserie Artisanale,0.98,36.0,2.0,7.0,4.15,11,7,18,61.0
174,Le Verre Bouteille,0.78,8.0,2.0,7.0,4.0,11,7,18,61.0
175,Bar Davidson,0.96,1.0,1.0,4.0,2.85,4,6,10,40.0
176,Bar St Vincent,0.91,18.0,2.0,4.0,4.1,4,6,10,40.0
177,Blockhaus,0.98,98.0,3.0,4.0,4.1,4,6,10,40.0
178,Brasserie des Patriotes,0.96,3.0,1.0,3.0,2.7,4,6,10,40.0
179,Davidson Taverne,0.16,1.0,1.0,5.0,4.0,4,6,10,40.0
180,Ping Pong Club,0.96,36.0,2.0,5.0,4.05,8,12,20,40.0
181,Bishop & Bagg,0.96,70.0,2.0,6.0,4.3,8,12,20,40.0
182,Isle de Garde,0.97,53.0,3.0,4.0,4.55,8,12,20,40.0
183,Whisky Café,0.9,37.0,3.0,4.0,3.8,8,12,20,40.0
184,Nacho Libre,0.96,61.0,2.0,4.0,3.9,8,12,20,40.0
185,Bar Waverly,0.96,53.0,1.0,4.0,3.7,8,12,20,40.0
186,Bar Tapas Taza Flores,0.93,88.0,3.0,3.0,3.9,8,12,20,40.0
187,The Emerald,0.92,85.0,3.0,2.0,3.85,8,12,20,40.0
188,Snowbird Tiki Bar,0.81,36.0,3.0,7.0,3.5,8,12,20,40.0
189,Waverly,0.08,54.0,2.0,6.0,3.5,8,12,20,40.0
190,Pub Bishop & Bagg,0.06,91.0,2.0,7.0,4.0,8,12,20,40.0
191,L'Gros Luxe Mile End,0.86,84.0,2.0,4.0,4.0,8,12,20,40.0
192,Taverne la Remise,0.01,7.0,1.0,6.0,3.0,8,12,20,40.0
193,Mezcaleros,0.84,17.0,1.0,3.0,3.5,8,12,20,40.0
194,Bières Jukebox,0.88,58.0,2.0,4.0,4.1,23,2,25,92.0
195,Madisons New York Bar & Grill,0.47,36.0,2.0,3.0,3.0,23,2,25,92.0
196,MaBrasserie,0.97,80.0,2.0,5.0,4.5,10,7,17,59.0
197,La Distillerie No 3,0.95,93.0,2.0,4.0,4.1,10,7,17,59.0
198,Quai No.4,0.96,43.0,3.0,3.0,4.0,10,7,17,59.0
199,Verre Bouteille,0.97,85.0,1.0,4.0,3.45,10,7,17,59.0
200,Bar Lounge Lobby,0.92,40.0,3.0,2.0,3.2,10,7,17,59.0
201,La Porte Rouge,0.92,94.0,2.0,4.0,3.15,10,7,17,59.0
202,La Distillerie No.3,0.79,17.0,2.0,5.0,4.0,10,7,17,59.0
203,Le Rosemont,0.95,12.0,2.0,7.0,4.0,10,7,17,59.0
204,Lobby Bar,0.42,9.0,2.0,5.0,3.0,10,7,17,59.0
205,Pub BreWskey,0.99,71.0,1.0,7.0,4.45,12,16,28,43.0
206,Cold Room,0.96,73.0,3.0,9.0,4.35,12,16,28,43.0
207,Perché,0.97,9.0,2.0,7.0,4.15,12,16,28,43.0
208,Terrasse Place d'Armes,0.98,68.0,3.0,17.0,4.4,12,16,28,43.0
209,Modavie,0.99,8.0,2.0,12.0,4.25,12,16,28,43.0
210,Pub Wolf & Workman,0.97,59.0,2.0,16.0,4.4,12,16,28,43.0
211,Maison Saint-Paul,0.25,100.0,3.0,13.0,4.5,12,16,28,43.0
212,Wolf & Workman,0.97,120.0,2.0,21.0,4.5,12,16,28,43.0
213,Terrasse William Gray,0.13,60.0,3.0,8.0,3.5,12,16,28,43.0
214,Les 3 Brasseurs,0.86,224.0,2.0,19.0,3.5,12,16,28,43.0
215,Rebel Brasserie Urbaine,0.89,31.0,3.0,6.0,4.05,34,1,35,97.0
216,Bar l'aigle Noir,0.98,20.0,2.0,5.0,3.95,34,1,35,97.0
217,Bar le Stud,0.99,74.0,2.0,6.0,3.75,34,1,35,97.0
218,Bistro Tendresse,0.96,17.0,3.0,4.0,3.9,34,1,35,97.0
219,Le National,0.94,65.0,2.0,3.0,3.8,34,1,35,97.0
220,Bar Stock&Lounge,0.98,99.0,2.0,2.0,3.7,34,1,35,97.0
221,District Video Lounge,0.98,6.0,3.0,5.0,3.65,34,1,35,97.0
222,Le Stud,0.91,28.0,2.0,7.0,3.5,34,1,35,97.0
223,Bar Aigle Noir,0.05,18.0,3.0,7.0,3.0,34,1,35,97.0
224,Macbar et Fromage,1.0,44.0,2.0,6.0,4.0,34,1,35,97.0
225,Saloon Bistro Bar,0.3,95.0,2.0,6.0,3.5,34,1,35,97.0
226,Lounge l'Un et l'Autre,0.48,2.0,2.0,5.0,3.5,34,1,35,97.0
227,Tiradito,0.95,150.0,2.0,20.0,4.3,11,8,19,58.0
228,Nacarat,0.98,28.0,3.0,25.0,4.45,11,8,19,58.0
229,Escondite,0.97,247.0,2.0,43.0,4.35,11,8,19,58.0
230,Nyks Bistro Pub,0.99,83.0,2.0,22.0,4.4,11,8,19,58.0
231,Tommy,0.98,63.0,1.0,15.0,4.2,11,8,19,58.0
232,Bord'Elle,0.97,14.0,3.0,4.0,3.9,11,8,19,58.0
233,Botero,0.38,2.0,2.0,16.0,4.5,11,8,19,58.0
234,NYK'S,0.55,188.0,2.0,29.0,4.0,11,8,19,58.0
235,La Voûte,0.35,34.0,4.0,13.0,4.0,11,8,19,58.0
236,Sarah B.,0.17,28.0,2.0,14.0,4.0,11,8,19,58.0
237,Le Confessionnal,0.61,18.0,2.0,12.0,3.0,11,8,19,58.0
238,Gokudo,0.87,62.0,2.0,27.0,4.5,11,8,19,58.0
239,Barroco,0.39,301.0,3.0,15.0,4.5,11,8,19,58.0
240,Pub Victoria,0.61,14.0,2.0,11.0,3.0,11,8,19,58.0
241,Soubois,0.98,38.0,2.0,18.0,4.25,39,9,48,81.0
242,Bar George,0.98,70.0,3.0,17.0,4.25,39,9,48,81.0
243,Bar Cloakroom,0.98,11.0,3.0,14.0,4.3,39,9,48,81.0
244,Ye Olde Orchard Pub & Grill,0.98,69.0,2.0,22.0,4.15,39,9,48,81.0
245,Brass Door,0.96,76.0,1.0,6.0,4.0,39,9,48,81.0
246,Upstairs Jazz Bar & Grill,0.98,89.0,2.0,17.0,4.2,39,9,48,81.0
247,C'Cho-Colat,0.97,49.0,1.0,12.0,4.05,39,9,48,81.0
248,Cloakroom Bar,0.95,194.0,3.0,22.0,5.0,39,9,48,81.0
249,Mad Hatter Pub,0.51,101.0,1.0,26.0,4.0,39,9,48,81.0
250,N Sur Mackay,0.06,89.0,2.0,26.0,4.5,39,9,48,81.0
251,Grumpy's Bar,0.13,36.0,1.0,27.0,4.0,39,9,48,81.0
252,Alice Bar,0.85,3.0,2.0,18.0,4.0,39,9,48,81.0
253,The Brass Door Pub,0.36,35.0,1.0,7.0,4.0,39,9,48,81.0
254,Le Warehouse,0.67,161.0,1.0,17.0,3.5,39,9,48,81.0
255,Piranha Bar,0.23,22.0,2.0,17.0,3.5,39,9,48,81.0
256,Sir Winston Churchill Pub,0.03,143.0,2.0,11.0,3.5,39,9,48,81.0
257,Peel Pub,0.02,109.0,1.0,16.0,3.0,39,9,48,81.0
258,Notre-Bœuf-de-Grâce,0.21,56.0,2.0,10.0,4.0,39,9,48,81.0
259,Ziggy's Pub,0.64,35.0,2.0,7.0,3.5,39,9,48,81.0
260,La Cage,1.0,83.0,1.0,12.0,4.2,19,10,29,66.0
261,Benelux,0.99,127.0,1.0,11.0,4.25,3,19,22,14.0
262,Pullman,0.97,204.0,2.0,16.0,4.3,3,19,22,14.0
263,McKibbin's Irish Pub,0.99,62.0,2.0,14.0,4.1,3,19,22,14.0
264,Biiru,0.97,45.0,2.0,11.0,4.1,3,19,22,14.0
265,Café Parvis,0.06,223.0,2.0,12.0,4.0,3,19,22,14.0
266,Blvd44,0.81,26.0,2.0,5.0,2.5,3,19,22,14.0
267,Biirū,0.82,191.0,2.0,12.0,4.0,3,19,22,14.0
268,Apartment 200,0.5,72.0,2.0,6.0,3.0,3,19,22,14.0
269,Siboire,0.98,85.0,2.0,4.0,3.85,15,3,18,83.0
270,Clébard,0.85,19.0,2.0,7.0,3.5,15,3,18,83.0
271,Quai des Brumes,0.94,18.0,1.0,5.0,3.5,15,3,18,83.0
272,Taverne Metro-Pub,0.96,84.0,2.0,4.0,4.1,22,0,22,100.0
273,Bar Sexe Mania,0.95,63.0,2.0,3.0,4.1,22,0,22,100.0
274,The Kath Women,0.09,64.0,1.0,3.0,4.1,22,0,22,100.0
275,Bar Fullum,0.96,1.0,2.0,4.0,4.1,22,0,22,100.0
276,Pro Max Pub,0.38,64.0,2.0,3.0,4.1,22,0,22,100.0
277,Pro-Max Pub,0.2,46.0,2.0,2.0,4.1,22,0,22,100.0
278,Astral 2000,0.93,33.0,2.0,1.0,2.6,22,0,22,100.0
279,Alfred's Damn Right Joint,0.9,52.0,2.0,2.0,4.1,22,0,22,100.0
280,Bier Markt,0.99,27.0,2.0,6.0,3.85,22,4,26,85.0
281,La Cage ,0.26,36.0,2.0,12.0,3.5,22,4,26,85.0
282,Henri - Brasserie Francaise,0.95,44.0,3.0,12.0,4.0,22,4,26,85.0
283,Ye Olde Orchard,0.93,83.0,2.0,7.0,4.0,22,4,26,85.0
284,Etoh Brasserie,0.99,46.0,2.0,4.0,4.2,21,16,37,57.0
285,Bar la Québécoise,0.9,13.0,1.0,4.0,3.55,21,16,37,57.0
286,Bar Pam Pam,0.82,89.0,1.0,4.0,4.1,6,27,33,18.0
287,Ritz Bar,0.46,46.0,2.0,2.0,4.1,6,27,33,18.0
288,Cozmos Café Bar,0.99,81.0,1.0,4.0,4.1,6,27,33,18.0
289,Bande Paul,0.59,69.0,2.0,3.0,4.1,6,27,33,18.0
290,Bar Sportivo,0.94,33.0,1.0,1.0,2.85,6,27,33,18.0
291,Kamehameha Snack-Bar,0.91,93.0,2.0,1.0,3.65,9,8,17,53.0
292,Le Bureau Bar a Tapas,0.95,74.0,3.0,16.0,4.15,30,5,35,86.0
293,Monopole,0.97,21.0,1.0,11.0,4.35,30,5,35,86.0
294,Zibo,0.99,54.0,2.0,9.0,3.9,30,5,35,86.0
295,Milky Way Cocktail Bar,0.98,9.0,3.0,6.0,4.3,30,5,35,86.0
296,Bird Bar,0.95,69.0,1.0,8.0,3.95,30,5,35,86.0
297,Knox Taverne,0.97,98.0,2.0,7.0,4.05,30,5,35,86.0
298,New City Gas,0.98,72.0,2.0,9.0,3.85,30,5,35,86.0
299,Lord William Pub,0.98,72.0,1.0,9.0,3.75,30,5,35,86.0
300,Resto-pub le 100 génies,0.99,34.0,2.0,5.0,3.25,30,5,35,86.0
301,Association Montréal Beach,0.41,30.0,2.0,1.0,4.1,30,5,35,86.0
302,Pub Lord William,0.6,38.0,2.0,18.0,4.0,30,5,35,86.0
303,Industria Pizzeria + Bar,0.82,44.0,2.0,7.0,3.5,30,5,35,86.0
304,Perles et Paddock,0.86,50.0,4.0,16.0,4.0,30,5,35,86.0
305,Resto-Pub 100 Génies,0.59,8.0,2.0,10.0,3.0,30,5,35,86.0
306,Le Bureau,0.17,33.0,3.0,14.0,3.5,30,5,35,86.0
307,Knox,0.74,19.0,2.0,7.0,4.5,30,5,35,86.0
308,Mélisse,0.49,45.0,2.0,8.0,4.5,30,5,35,86.0
309,Arem Restaurant,0.78,4.0,2.0,11.0,1.5,30,5,35,86.0
310,Bar le Sénateur,0.58,6.0,3.0,6.0,3.5,30,5,35,86.0
311,Taverne 1909 signé St-Hubert,0.13,40.0,2.0,3.0,2.5,30,5,35,86.0
312,Le Vin Papillon,0.95,145.0,3.0,11.0,4.55,8,6,14,57.0
313,Burgundy Lion,0.97,43.0,2.0,11.0,4.35,8,6,14,57.0
314,Atwater Cocktail Club,0.99,120.0,3.0,8.0,4.35,8,6,14,57.0
315,Drinkerie Ste-Cunégonde,0.97,84.0,2.0,8.0,3.75,8,6,14,57.0
316,El Gordo,0.95,79.0,2.0,8.0,3.6,8,6,14,57.0
317,Moose Bawr,0.98,81.0,2.0,3.0,3.8,8,6,14,57.0
318,Kampai Garden,0.98,95.0,1.0,3.0,3.6,8,6,14,57.0
319,Pub Burgundy Lion,0.24,234.0,2.0,15.0,4.0,8,6,14,57.0
320,La Drinkerie Ste-Cunégonde,0.66,51.0,2.0,14.0,4.0,8,6,14,57.0
321,Canal Lounge,0.17,28.0,2.0,9.0,4.5,8,6,14,57.0
322,Bar Ganadara,0.65,72.0,2.0,11.0,4.0,8,6,14,57.0
323,Imadake,0.39,287.0,2.0,11.0,4.0,8,6,14,57.0
324,KINKA IZAKAYA MONTREAL,0.23,378.0,2.0,13.0,4.0,8,6,14,57.0
325,Forum Sports Bar & GamesCentre,0.87,32.0,2.0,8.0,2.5,8,6,14,57.0
326,Cock'n Bull Pub,0.84,16.0,1.0,8.0,3.5,8,6,14,57.0
327,La Chic Régal,0.77,7.0,1.0,6.0,3.0,8,6,14,57.0
328,Kampaï Garden,0.96,159.0,2.0,8.0,3.5,8,6,14,57.0
329,La Station des Sports,0.55,108.0,2.0,7.0,2.5,8,6,14,57.0
330,Pub Epoxy,0.65,9.0,2.0,8.0,3.5,8,6,14,57.0
331,La Belle & La Boeuf,0.26,217.0,2.0,1.0,3.5,8,6,14,57.0
332,Paperplane MTL,0.68,5.0,2.0,6.0,3.1,25,8,33,76.0
333,Cafeteria BBR,0.84,10.0,3.0,1.0,4.1,25,8,33,76.0
